,Q=0.161%,Q=0.174%,Q=0.187%,Q=0.199%,Q=0.212%,Q=0.224%,Q=0.237%
1158.435624,0,0,0,0,0,0,0
1229.839186,0,0,0,0,0,0,0.1
1301.242748,0,0,0,0,0,0,0.2
1372.64631,0,0,0,0,0,0,0.3
1444.049872,0,0,0,0,0,0.1,0.5
1515.453434,0,0,0,0,0,0.2,0.7
1586.856996,0,0,0,0,0,0.3,0.7
1658.260558,0,0,0,0,0,0.3,0.8
1729.66412,0,0,0,0,0,0.3,0.8
1801.067682,0,0,0,0,0,0.5,1
1872.471243,0,0,0,0,0,0.5,1
1943.874805,0,0,0,0,0.1,0.6,1
2015.278367,0,0,0,0,0.1,0.7,1
2086.681929,0,0,0,0,0.1,0.7,1
2158.085491,0,0,0,0,0.2,0.7,1
2229.489053,0,0,0,0,0.3,0.8,1
2300.892615,0,0,0,0,0.3,0.9,1
2372.296177,0,0,0,0,0.3,1,1
2443.699739,0,0,0,0,0.3,1,1
2515.103301,0,0,0,0.1,0.5,1,1
2586.506863,0,0,0,0.1,0.5,1,1
2657.910424,0,0,0,0.1,0.9,1,1
2729.313986,0,0,0,0.1,0.9,1,1
2800.717548,0,0,0,0.3,0.9,1,1
2872.12111,0,0,0,0.3,1,1,1
2943.524672,0,0,0,0.6,1,1,1
3014.928234,0,0,0,0.6,1,1,1
3086.331796,0,0,0,0.6,1,1,1
3157.735358,0,0,0,0.7,1,1,1
3229.13892,0,0,0,0.7,1,1,1
3300.542482,0,0,0,0.7,1,1,1
3371.946043,0,0,0,0.7,1,1,1
3443.349605,0,0,0,0.9,1,1,1
3514.753167,0,0,0,0.9,1,1,1
3586.156729,0,0,0,0.9,1,1,1
3657.560291,0,0,0,1,1,1,1
3728.963853,0,0,0.2,1,1,1,1
3800.367415,0,0,0.2,1,1,1,1
3871.770977,0,0,0.2,1,1,1,1
3943.174539,0,0,0.3,1,1,1,1
4014.578101,0,0,0.4,1,1,1,1
4085.981662,0,0,0.4,1,1,1,1
4157.385224,0,0,0.6,1,1,1,1
4228.788786,0,0,0.7,1,1,1,1
4300.192348,0,0,0.7,1,1,1,1
4371.59591,0,0,0.7,1,1,1,1
4442.999472,0,0.1,0.7,1,1,1,1
4514.403034,0,0.1,0.8,1,1,1,1
4585.806596,0,0.1,0.8,1,1,1,1
4657.210158,0,0.1,0.8,1,1,1,1
4728.61372,0,0.1,1,1,1,1,1
4800.017282,0,0.2,1,1,1,1,1
4871.420843,0,0.2,1,1,1,1,1
4942.824405,0,0.2,1,1,1,1,1
5014.227967,0,0.2,1,1,1,1,1
5085.631529,0,0.2,1,1,1,1,1
5157.035091,0,0.2,1,1,1,1,1
5228.438653,0,0.3,1,1,1,1,1
5299.842215,0,0.5,1,1,1,1,1
5371.245777,0,0.5,1,1,1,1,1
5442.649339,0,0.5,1,1,1,1,1
5514.052901,0,0.5,1,1,1,1,1
5585.456462,0,0.7,1,1,1,1,1
5656.860024,0,0.7,1,1,1,1,1
5728.263586,0,0.7,1,1,1,1,1
5799.667148,0,0.7,1,1,1,1,1
5871.07071,0,0.8,1,1,1,1,1
5942.474272,0,0.8,1,1,1,1,1
6013.877834,0.1,0.8,1,1,1,1,1
6085.281396,0.1,0.8,1,1,1,1,1
6156.684958,0.1,0.8,1,1,1,1,1
6228.08852,0.1,0.8,1,1,1,1,1
6299.492082,0.1,0.8,1,1,1,1,1
6370.895643,0.1,0.8,1,1,1,1,1
6442.299205,0.1,0.8,1,1,1,1,1
6513.702767,0.1,0.9,1,1,1,1,1
6585.106329,0.1,0.9,1,1,1,1,1
6656.509891,0.1,0.9,1,1,1,1,1
6727.913453,0.1,0.9,1,1,1,1,1
6799.317015,0.1,0.9,1,1,1,1,1
6870.720577,0.2,1,1,1,1,1,1
6942.124139,0.2,1,1,1,1,1,1
7013.527701,0.2,1,1,1,1,1,1
7084.931262,0.2,1,1,1,1,1,1
7156.334824,0.2,1,1,1,1,1,1
7227.738386,0.3,1,1,1,1,1,1
7299.141948,0.3,1,1,1,1,1,1
7370.54551,0.3,1,1,1,1,1,1
7441.949072,0.3,1,1,1,1,1,1
7513.352634,0.4,1,1,1,1,1,1
7584.756196,0.4,1,1,1,1,1,1
7656.159758,0.4,1,1,1,1,1,1
7727.56332,0.5,1,1,1,1,1,1
7798.966881,0.5,1,1,1,1,1,1
7870.370443,0.6,1,1,1,1,1,1
7941.774005,0.6,1,1,1,1,1,1
8013.177567,0.6,1,1,1,1,1,1
8084.581129,0.7,1,1,1,1,1,1
8155.984691,0.7,1,1,1,1,1,1
8227.388253,0.7,1,1,1,1,1,1
