,Q=0.315%,Q=0.354%,Q=0.392%,Q=0.431%,Q=0.470%,Q=0.509%,Q=0.548%,Q=0.586%
11999.23614,0,0,0,0,0,0,0,0.5
12299.13826,0,0,0,0,0,0,0,0.7
12599.04039,0,0,0,0,0,0,0,1
12898.94251,0,0,0,0,0,0,0.1,1
13198.84463,0,0,0,0,0,0,0.5,1
13498.74675,0,0,0,0,0,0,0.6,1
13798.64887,0,0,0,0,0,0,1,1
14098.551,0,0,0,0,0,0,1,1
14398.45312,0,0,0,0,0,0.2,1,1
14698.35524,0,0,0,0,0,0.5,1,1
14998.25736,0,0,0,0,0,0.7,1,1
15298.15948,0,0,0,0,0,0.8,1,1
15598.0616,0,0,0,0,0,1,1,1
15897.96373,0,0,0,0,0.1,1,1,1
16197.86585,0,0,0,0,0.2,1,1,1
16497.76797,0,0,0,0,0.3,1,1,1
16797.67009,0,0,0,0,0.7,1,1,1
17097.57221,0,0,0,0,0.8,1,1,1
17397.47434,0,0,0,0,1,1,1,1
17697.37646,0,0,0,0,1,1,1,1
17997.27858,0,0,0,0,1,1,1,1
18297.1807,0,0,0,0.2,1,1,1,1
18597.08282,0,0,0,0.4,1,1,1,1
18896.98494,0,0,0,0.4,1,1,1,1
19196.88707,0,0,0,0.7,1,1,1,1
19496.78919,0,0,0,0.8,1,1,1,1
19796.69131,0,0,0,0.9,1,1,1,1
20096.59343,0,0,0,1,1,1,1,1
20396.49555,0,0,0,1,1,1,1,1
20696.39768,0,0,0,1,1,1,1,1
20996.2998,0,0,0.1,1,1,1,1,1
21296.20192,0,0,0.2,1,1,1,1,1
21596.10404,0,0,0.3,1,1,1,1,1
21896.00616,0,0,0.4,1,1,1,1,1
22195.90829,0,0,0.4,1,1,1,1,1
22495.81041,0,0,0.8,1,1,1,1,1
22795.71253,0,0,0.8,1,1,1,1,1
23095.61465,0,0,0.9,1,1,1,1,1
23395.51677,0,0,0.9,1,1,1,1,1
23695.41889,0,0,0.9,1,1,1,1,1
23995.32102,0,0,0.9,1,1,1,1,1
24295.22314,0,0,0.9,1,1,1,1,1
24595.12526,0,0,1,1,1,1,1,1
24895.02738,0,0,1,1,1,1,1,1
25194.9295,0,0,1,1,1,1,1,1
25494.83163,0,0.1,1,1,1,1,1,1
25794.73375,0,0.1,1,1,1,1,1,1
26094.63587,0,0.1,1,1,1,1,1,1
26394.53799,0,0.2,1,1,1,1,1,1
26694.44011,0,0.2,1,1,1,1,1,1
26994.34223,0,0.2,1,1,1,1,1,1
27294.24436,0,0.3,1,1,1,1,1,1
27594.14648,0,0.3,1,1,1,1,1,1
27894.0486,0,0.3,1,1,1,1,1,1
28193.95072,0,0.3,1,1,1,1,1,1
28493.85284,0,0.3,1,1,1,1,1,1
28793.75497,0,0.3,1,1,1,1,1,1
29093.65709,0,0.4,1,1,1,1,1,1
29393.55921,0,0.4,1,1,1,1,1,1
29693.46133,0,0.4,1,1,1,1,1,1
29993.36345,0,0.4,1,1,1,1,1,1
30293.26557,0,0.4,1,1,1,1,1,1
30593.1677,0,0.4,1,1,1,1,1,1
30893.06982,0,0.4,1,1,1,1,1,1
31192.97194,0,0.5,1,1,1,1,1,1
31492.87406,0,0.6,1,1,1,1,1,1
31792.77618,0,0.6,1,1,1,1,1,1
32092.67831,0,0.6,1,1,1,1,1,1
32392.58043,0,0.6,1,1,1,1,1,1
32692.48255,0,0.7,1,1,1,1,1,1
32992.38467,0,0.8,1,1,1,1,1,1
33292.28679,0,0.9,1,1,1,1,1,1
33592.18891,0,0.9,1,1,1,1,1,1
33892.09104,0,0.9,1,1,1,1,1,1
34191.99316,0,0.9,1,1,1,1,1,1
34491.89528,0,1,1,1,1,1,1,1
34791.7974,0,1,1,1,1,1,1,1
35091.69952,0,1,1,1,1,1,1,1
35391.60165,0,1,1,1,1,1,1,1
35691.50377,0,1,1,1,1,1,1,1
35991.40589,0,1,1,1,1,1,1,1
36291.30801,0,1,1,1,1,1,1,1
36591.21013,0,1,1,1,1,1,1,1
36891.11225,0,1,1,1,1,1,1,1
37191.01438,0,1,1,1,1,1,1,1
37490.9165,0,1,1,1,1,1,1,1
37790.81862,0,1,1,1,1,1,1,1
38090.72074,0,1,1,1,1,1,1,1
38390.62286,0,1,1,1,1,1,1,1
38690.52499,0,1,1,1,1,1,1,1
38990.42711,0,1,1,1,1,1,1,1
39290.32923,0,1,1,1,1,1,1,1
39590.23135,0,1,1,1,1,1,1,1
39890.13347,0,1,1,1,1,1,1,1
40190.03559,0,1,1,1,1,1,1,1
40489.93772,0,1,1,1,1,1,1,1
40789.83984,0,1,1,1,1,1,1,1
41089.74196,0,1,1,1,1,1,1,1
41389.64408,0,1,1,1,1,1,1,1
41689.5462,0,1,1,1,1,1,1,1
