,Q=0.051,Q=0.063%,Q=0.075%,Q=0.087%,Q=0.099%,Q=0.110%,Q=0.122%
23.70498166,0,0,0,0,0,0,0
26.4308904,0,0,0,0,0,0,0.1
29.15679915,0,0,0,0,0,0,0.2
31.88270789,0,0,0,0,0,0.1,0.8
34.60861663,0,0,0,0,0.1,0.6,1
37.33452538,0,0,0,0,0.2,0.9,1
40.06043412,0,0,0,0,0.4,0.9,1
42.78634286,0,0,0,0,0.4,0.9,1
45.51225161,0,0,0,0,0.7,1,1
48.23816035,0,0,0,0,0.7,1,1
50.96406909,0,0,0,0.2,0.9,1,1
53.68997784,0,0,0,0.4,1,1,1
56.41588658,0,0,0,0.7,1,1,1
59.14179532,0,0,0,0.7,1,1,1
61.86770407,0,0,0,0.8,1,1,1
64.59361281,0,0,0.2,0.8,1,1,1
67.31952156,0,0,0.2,0.9,1,1,1
70.0454303,0,0,0.3,0.9,1,1,1
72.77133904,0,0,0.3,0.9,1,1,1
75.49724779,0,0,0.4,1,1,1,1
78.22315653,0,0.1,0.6,1,1,1,1
80.94906527,0,0.1,0.8,1,1,1,1
83.67497402,0,0.1,0.9,1,1,1,1
86.40088276,0,0.1,0.9,1,1,1,1
89.1267915,0,0.1,1,1,1,1,1
91.85270025,0,0.1,1,1,1,1,1
94.57860899,0,0.2,1,1,1,1,1
97.30451773,0,0.2,1,1,1,1,1
100.0304265,0,0.2,1,1,1,1,1
102.7563352,0,0.2,1,1,1,1,1
105.482244,0,0.2,1,1,1,1,1
108.2081527,0,0.2,1,1,1,1,1
110.9340614,0,0.2,1,1,1,1,1
113.6599702,0,0.2,1,1,1,1,1
116.3858789,0,0.3,1,1,1,1,1
119.1117877,0,0.3,1,1,1,1,1
121.8376964,0,0.3,1,1,1,1,1
124.5636052,0,0.3,1,1,1,1,1
127.2895139,0,0.4,1,1,1,1,1
130.0154227,0,0.4,1,1,1,1,1
132.7413314,0,0.4,1,1,1,1,1
135.4672401,0.1,0.4,1,1,1,1,1
138.1931489,0.1,0.4,1,1,1,1,1
140.9190576,0.1,0.4,1,1,1,1,1
143.6449664,0.1,0.5,1,1,1,1,1
146.3708751,0.1,0.5,1,1,1,1,1
149.0967839,0.1,0.5,1,1,1,1,1
151.8226926,0.1,0.5,1,1,1,1,1
154.5486013,0.1,0.5,1,1,1,1,1
157.2745101,0.1,0.6,1,1,1,1,1
160.0004188,0.2,0.7,1,1,1,1,1
162.7263276,0.2,0.7,1,1,1,1,1
165.4522363,0.2,0.8,1,1,1,1,1
168.1781451,0.2,0.9,1,1,1,1,1
170.9040538,0.2,0.9,1,1,1,1,1
173.6299625,0.2,0.9,1,1,1,1,1
176.3558713,0.2,1,1,1,1,1,1
179.08178,0.2,1,1,1,1,1,1
181.8076888,0.2,1,1,1,1,1,1
184.5335975,0.2,1,1,1,1,1,1
187.2595063,0.2,1,1,1,1,1,1
189.985415,0.2,1,1,1,1,1,1
192.7113238,0.2,1,1,1,1,1,1
195.4372325,0.2,1,1,1,1,1,1
198.1631412,0.2,1,1,1,1,1,1
200.88905,0.2,1,1,1,1,1,1
203.6149587,0.2,1,1,1,1,1,1
206.3408675,0.2,1,1,1,1,1,1
209.0667762,0.2,1,1,1,1,1,1
211.792685,0.2,1,1,1,1,1,1
214.5185937,0.2,1,1,1,1,1,1
217.2445024,0.2,1,1,1,1,1,1
219.9704112,0.2,1,1,1,1,1,1
222.6963199,0.2,1,1,1,1,1,1
225.4222287,0.2,1,1,1,1,1,1
228.1481374,0.2,1,1,1,1,1,1
230.8740462,0.2,1,1,1,1,1,1
233.5999549,0.2,1,1,1,1,1,1
236.3258636,0.2,1,1,1,1,1,1
239.0517724,0.2,1,1,1,1,1,1
241.7776811,0.2,1,1,1,1,1,1
244.5035899,0.2,1,1,1,1,1,1
247.2294986,0.2,1,1,1,1,1,1
249.9554074,0.2,1,1,1,1,1,1
252.6813161,0.2,1,1,1,1,1,1
255.4072249,0.2,1,1,1,1,1,1
258.1331336,0.2,1,1,1,1,1,1
260.8590423,0.2,1,1,1,1,1,1
263.5849511,0.2,1,1,1,1,1,1
266.3108598,0.2,1,1,1,1,1,1
269.0367686,0.2,1,1,1,1,1,1
271.7626773,0.2,1,1,1,1,1,1
274.4885861,0.2,1,1,1,1,1,1
277.2144948,0.2,1,1,1,1,1,1
279.9404035,0.2,1,1,1,1,1,1
282.6663123,0.2,1,1,1,1,1,1
285.392221,0.2,1,1,1,1,1,1
288.1181298,0.2,1,1,1,1,1,1
290.8440385,0.2,1,1,1,1,1,1
293.5699473,0.2,1,1,1,1,1,1
