,0.097313959,Q=0.117%,Q=0.137%,Q=0.158%,Q=0.178%,Q=0.198%,Q=0.218%,,,,,,
438.6990265,0,0,0,0,0,0,0,,,,,,
472.6921442,0,0,0,0,0,0,0.4,,,,,,
506.6852619,0,0,0,0,0,0,0.6,,,,,,
540.6783797,0,0,0,0,0,0,0.7,,,,,,
574.6714974,0,0,0,0,0,0.1,0.9,,,,,,
608.6646151,0,0,0,0,0,0.1,1,,,,,,
642.6577329,0,0,0,0,0,0.3,1,,,,,,
676.6508506,0,0,0,0,0,0.5,1,,,,,,
710.6439683,0,0,0,0,0,0.8,1,,,,,,
744.637086,0,0,0,0,0.1,0.8,1,,,,,,
778.6302038,0,0,0,0,0.1,0.9,1,,,,,,
812.6233215,0,0,0,0,0.3,1,1,,,,,,
846.6164392,0,0,0,0,0.4,1,1,,,,,,
880.6095569,0,0,0,0,0.7,1,1,,,,,,
914.6026747,0,0,0,0,0.8,1,1,,,,,,
948.5957924,0,0,0,0,0.8,1,1,,,,,,
982.5889101,0,0,0,0,0.8,1,1,,,,,,
1016.582028,0,0,0,0,1,1,1,,,,,,
1050.575146,0,0,0,0,1,1,1,,,,,,
1084.568263,0,0,0,0.2,1,1,1,,,,,,
1118.561381,0,0,0,0.4,1,1,1,,,,,,
1152.554499,0,0,0,0.6,1,1,1,,,,,,
1186.547616,0,0,0,0.6,1,1,1,,,,,,
1220.540734,0,0,0,0.7,1,1,1,,,,,,
1254.533852,0,0,0,0.8,1,1,1,,,,,,
1288.52697,0,0,0,0.8,1,1,1,,,,,,
1322.520087,0,0,0,1,1,1,1,,,,,,
1356.513205,0,0,0.1,1,1,1,1,,,,,,
1390.506323,0,0,0.1,1,1,1,1,,,,,,
1424.499441,0,0,0.1,1,1,1,1,,,,,,188664626
1458.492558,0,0,0.3,1,1,1,1,,,,,,1845
1492.485676,0,0,0.5,1,1,1,1,,,,,,
1526.478794,0,0,0.5,1,1,1,1,,,,,,
1560.471911,0,0,0.6,1,1,1,1,,,,,,
1594.465029,0,0,0.6,1,1,1,1,,,,,,
1628.458147,0,0,0.6,1,1,1,1,,,,,,
1662.451265,0,0,0.7,1,1,1,1,,,,,,
1696.444382,0,0,0.9,1,1,1,1,,,,,,
1730.4375,0,0,0.9,1,1,1,1,,,,,,
1764.430618,0,0,0.9,1,1,1,1,,,,,,
1798.423736,0,0,1,1,1,1,1,,,,,,
1832.416853,0,0,1,1,1,1,1,,,,,,
1866.409971,0,0,1,1,1,1,1,,,,,,
1900.403089,0,0,1,1,1,1,1,,,,,,
1934.396206,0,0,1,1,1,1,1,,,,,,
1968.389324,0,0,1,1,1,1,1,,,,,,
2002.382442,0,0.1,1,1,1,1,1,,,,,,
2036.37556,0,0.1,1,1,1,1,1,,,,,,
2070.368677,0,0.1,1,1,1,1,1,,,,,,
2104.361795,0,0.1,1,1,1,1,1,,,,,,
2138.354913,0,0.2,1,1,1,1,1,,,,,,
2172.348031,0,0.2,1,1,1,1,1,,,,,,
2206.341148,0,0.3,1,1,1,1,1,,,,,,
2240.334266,0,0.4,1,1,1,1,1,,,,,,
2274.327384,0,0.4,1,1,1,1,1,,,,,,
2308.320501,0,0.4,1,1,1,1,1,,,,,,
2342.313619,0,0.6,1,1,1,1,1,,,,,,
2376.306737,0,0.6,1,1,1,1,1,,,,,,
2410.299855,0,0.7,1,1,1,1,1,,,,,,
2444.292972,0,0.8,1,1,1,1,1,,,,,,
2478.28609,0,0.8,1,1,1,1,1,,,,,,
2512.279208,0,0.9,1,1,1,1,1,,,,,,
2546.272326,0,1,1,1,1,1,1,,,,,,
2580.265443,0,1,1,1,1,1,1,,,,,,
2614.258561,0,1,1,1,1,1,1,,,,,,
2648.251679,0,1,1,1,1,1,1,,,,,,
2682.244796,0,1,1,1,1,1,1,,,,,,
2716.237914,0,1,1,1,1,1,1,,,,,,
2750.231032,0,1,1,1,1,1,1,,,,,,
2784.22415,0,1,1,1,1,1,1,,,,,,
2818.217267,0,1,1,1,1,1,1,,,,,,
2852.210385,0,1,1,1,1,1,1,,,,,,
2886.203503,0,1,1,1,1,1,1,,,,,,
2920.196621,0,1,1,1,1,1,1,,,,,,
2954.189738,0,1,1,1,1,1,1,,,,,,
2988.182856,0,1,1,1,1,1,1,,,,,,
3022.175974,0,1,1,1,1,1,1,,,,,,
3056.169091,0,1,1,1,1,1,1,,,,,,
3090.162209,0,1,1,1,1,1,1,,,,,,
3124.155327,0,1,1,1,1,1,1,,,,,,
3158.148445,0,1,1,1,1,1,1,,,,,,
3192.141562,0,1,1,1,1,1,1,,,,,,
3226.13468,0,1,1,1,1,1,1,,,,,,
3260.127798,0,1,1,1,1,1,1,,,,,,
3294.120916,0,1,1,1,1,1,1,,,,,,
3328.114033,0,1,1,1,1,1,1,,,,,,
3362.107151,0,1,1,1,1,1,1,,,,,,
3396.100269,0,1,1,1,1,1,1,,,,,,
3430.093386,0,1,1,1,1,1,1,,,,,,
3464.086504,0,1,1,1,1,1,1,,,,,,
3498.079622,0,1,1,1,1,1,1,,,,,,
3532.07274,0,1,1,1,1,1,1,,,,,,
3566.065857,0,1,1,1,1,1,1,,,,,,
3600.058975,0,1,1,1,1,1,1,,,,,,
3634.052093,0,1,1,1,1,1,1,,,,,,
3668.045211,0,1,1,1,1,1,1,,,,,,
3702.038328,0,1,1,1,1,1,1,,,,,,
3736.031446,0,1,1,1,1,1,1,,,,,,
3770.024564,0,1,1,1,1,1,1,,,,,,
3804.017681,0,1,1,1,1,1,1,,,,,,
