,RT=772.47 Sec,RT=1489.26 Sec,RT=2206.06 Sec,RT=2922.85 Sec,RT=3639.64 Sec,RT=4356.43 Sec,RT=5073.23 Sec,
16.14162506,0,0,0,0,0,0,0,1614.162506
16.22986836,0,0,0,0,0,0,0,1622.986836
16.31811167,0,0,0,0,0,0,0,1631.811167
16.40635497,0,0,0,0,0,0,0,1640.635497
16.49459828,0,0,0,0,0,0,0,1649.459828
16.58284158,0,0,0,0,0,0,0,1658.284158
16.67108488,0,0,0,0,0,0,0.1,1667.108488
16.75932819,0,0,0,0,0,0,0.1,1675.932819
16.84757149,0,0,0,0,0,0,0.2,1684.757149
16.9358148,0,0,0,0,0,0,0.2,1693.58148
17.0240581,0,0,0,0,0,0,0.2,1702.40581
17.11230141,0,0,0,0,0,0,0.2,1711.230141
17.20054471,0,0,0,0,0,0,0.2,1720.054471
17.28878802,0,0,0,0,0,0,0.2,1728.878802
17.37703132,0,0,0,0,0,0,0.2,1737.703132
17.46527463,0,0,0,0,0,0,0.2,1746.527463
17.55351793,0,0,0,0,0,0.1,0.3,1755.351793
17.64176123,0,0,0,0,0,0.1,0.4,1764.176123
17.73000454,0,0,0,0,0,0.1,0.6,1773.000454
17.81824784,0,0,0,0,0,0.1,0.6,1781.824784
17.90649115,0,0,0,0,0,0.1,0.7,1790.649115
17.99473445,0,0,0,0,0,0.2,0.8,1799.473445
18.08297776,0,0,0,0,0,0.4,0.8,1808.297776
18.17122106,0,0,0,0,0,0.4,0.9,1817.122106
18.25946437,0,0,0,0,0,0.4,1,1825.946437
18.34770767,0,0,0,0,0,0.5,1,1834.770767
18.43595098,0,0,0,0,0,0.5,1,1843.595098
18.52419428,0,0,0,0,0,0.6,1,1852.419428
18.61243759,0,0,0,0,0,0.7,1,1861.243759
18.70068089,0,0,0,0,0,0.7,1,1870.068089
18.78892419,0,0,0,0,0,0.7,1,1878.892419
18.8771675,0,0,0,0.1,0.1,0.8,1,1887.71675
18.9654108,0,0,0,0.1,0.2,0.9,1,1896.54108
19.05365411,0,0,0,0.1,0.4,0.9,1,1905.365411
19.14189741,0,0,0,0.1,0.4,0.9,1,1914.189741
19.23014072,0,0,0,0.1,0.7,1,1,1923.014072
19.31838402,0,0,0,0.1,0.7,1,1,1931.838402
19.40662733,0,0,0,0.1,0.8,1,1,1940.662733
19.49487063,0,0,0,0.1,0.8,1,1,1949.487063
19.58311394,0,0,0,0.2,0.8,1,1,1958.311394
19.67135724,0,0,0,0.2,0.9,1,1,1967.135724
19.75960054,0,0,0,0.3,0.9,1,1,1975.960054
19.84784385,0,0,0,0.3,0.9,1,1,1984.784385
19.93608715,0,0,0,0.4,0.9,1,1,1993.608715
20.02433046,0,0,0,0.6,1,1,1,2002.433046
