,RT=7200.80 Sec,RT=11313.75 Sec,RT=15426.69 Sec,RT=19539.63 Sec,RT=23652.58 Sec,RT=27765.52 Sec,RT=31878.46 Sec,,
31.4878908,0,0,0,0,0,0,0,3148.78908,3148.78908
31.83166446,0,0,0,0,0,0,0,3183.166446,
32.17543813,0,0,0,0,0,0,0,3217.543813,
32.5192118,0,0,0,0,0,0,0,3251.92118,
32.86298547,0,0,0,0,0,0,0,3286.298547,
33.20675914,0,0,0,0,0,0,0.1,3320.675914,
33.5505328,0,0,0,0,0,0,0.2,3355.05328,
33.89430647,0,0,0,0,0,0,0.3,3389.430647,
34.23808014,0,0,0,0,0,0.1,0.3,3423.808014,
34.58185381,0,0,0,0,0,0.1,0.3,3458.185381,
34.92562748,0,0,0,0,0,0.2,0.3,3492.562748,
35.26940114,0,0,0,0,0,0.3,0.6,3526.940114,
35.61317481,0,0,0,0,0,0.4,0.8,3561.317481,
35.95694848,0,0,0,0,0,0.4,1,3595.694848,
36.30072215,0,0,0,0,0.1,0.5,1,3630.072215,
36.64449582,0,0,0,0,0.1,0.7,1,3664.449582,
36.98826948,0,0,0,0,0.1,0.8,1,3698.826948,
37.33204315,0,0,0,0,0.1,1,1,3733.204315,
37.67581682,0,0,0,0,0.2,1,1,3767.581682,
38.01959049,0,0,0,0,0.4,1,1,3801.959049,
38.36336416,0,0,0,0,0.7,1,1,3836.336416,
38.70713782,0,0,0,0,0.7,1,1,3870.713782,
39.05091149,0,0,0,0,0.9,1,1,3905.091149,
39.39468516,0,0,0,0,0.9,1,1,3939.468516,
39.73845883,0,0,0,0,1,1,1,3973.845883,
40.0822325,0,0,0,0,1,1,1,4008.22325,
40.42600616,0,0,0,0,1,1,1,4042.600616,
40.76977983,0,0,0,0,1,1,1,4076.977983,
41.1135535,0,0,0,0.1,1,1,1,4111.35535,
41.45732717,0,0,0,0.3,1,1,1,4145.732717,
41.80110084,0,0,0,0.3,1,1,1,4180.110084,
42.1448745,0,0,0,0.5,1,1,1,4214.48745,
42.48864817,0,0,0,0.7,1,1,1,4248.864817,
42.83242184,0,0,0,0.8,1,1,1,4283.242184,
43.17619551,0,0,0,0.8,1,1,1,4317.619551,
43.51996918,0,0,0,0.9,1,1,1,4351.996918,
43.86374284,0,0,0,1,1,1,1,4386.374284,
44.20751651,0,0,0,1,1,1,1,4420.751651,
44.55129018,0,0,0,1,1,1,1,4455.129018,
44.89506385,0,0,0,1,1,1,1,4489.506385,
45.23883752,0,0,0,1,1,1,1,4523.883752,
45.58261118,0,0,0,1,1,1,1,4558.261118,
45.92638485,0,0,0,1,1,1,1,4592.638485,
46.27015852,0,0,0,1,1,1,1,4627.015852,
46.61393219,0,0,0,1,1,1,1,4661.393219,
46.95770586,0,0,0,1,1,1,1,4695.770586,
47.30147952,0,0,0,1,1,1,1,4730.147952,
47.64525319,0,0,0,1,1,1,1,4764.525319,
47.98902686,0,0,0,1,1,1,1,4798.902686,
48.33280053,0,0,0.1,1,1,1,1,4833.280053,
48.6765742,0,0,0.3,1,1,1,1,4867.65742,
49.02034786,0,0,0.4,1,1,1,1,4902.034786,
49.36412153,0,0,0.5,1,1,1,1,4936.412153,
49.7078952,0,0,0.7,1,1,1,1,4970.78952,
50.05166887,0,0,0.8,1,1,1,1,5005.166887,
50.39544254,0,0,0.8,1,1,1,1,5039.544254,
50.7392162,0,0,0.9,1,1,1,1,5073.92162,
51.08298987,0,0,0.9,1,1,1,1,5108.298987,
51.42676354,0,0,1,1,1,1,1,5142.676354,
51.77053721,0,0,1,1,1,1,1,5177.053721,
52.11431088,0,0,1,1,1,1,1,5211.431088,
52.45808454,0,0,1,1,1,1,1,5245.808454,
52.80185821,0,0,1,1,1,1,1,5280.185821,
53.14563188,0,0,1,1,1,1,1,5314.563188,
53.48940555,0,0,1,1,1,1,1,5348.940555,
53.83317922,0,0,1,1,1,1,1,5383.317922,
54.17695288,0,0,1,1,1,1,1,5417.695288,
54.52072655,0,0,1,1,1,1,1,5452.072655,
54.86450022,0,0,1,1,1,1,1,5486.450022,
55.20827389,0,0,1,1,1,1,1,5520.827389,
55.55204756,0,0,1,1,1,1,1,5555.204756,
55.89582122,0,0,1,1,1,1,1,5589.582122,
56.23959489,0,0,1,1,1,1,1,5623.959489,
56.58336856,0,0,1,1,1,1,1,5658.336856,
56.92714223,0,0,1,1,1,1,1,5692.714223,
57.2709159,0,0,1,1,1,1,1,5727.09159,
57.61468956,0,0,1,1,1,1,1,5761.468956,
57.95846323,0,0,1,1,1,1,1,5795.846323,
58.3022369,0,0,1,1,1,1,1,5830.22369,
58.64601057,0,0,1,1,1,1,1,5864.601057,
58.98978424,0,0,1,1,1,1,1,5898.978424,
59.3335579,0,0,1,1,1,1,1,5933.35579,
59.67733157,0,0,1,1,1,1,1,5967.733157,
60.02110524,0,0,1,1,1,1,1,6002.110524,
60.36487891,0,0.1,1,1,1,1,1,6036.487891,
60.70865258,0,0.3,1,1,1,1,1,6070.865258,
61.05242624,0,0.4,1,1,1,1,1,6105.242624,
61.39619991,0,0.5,1,1,1,1,1,6139.619991,
61.73997358,0,0.5,1,1,1,1,1,6173.997358,
62.08374725,0,0.5,1,1,1,1,1,6208.374725,
62.42752092,0,0.6,1,1,1,1,1,6242.752092,
62.77129458,0,0.8,1,1,1,1,1,6277.129458,
63.11506825,0,0.9,1,1,1,1,1,6311.506825,
63.45884192,0,0.9,1,1,1,1,1,6345.884192,
63.80261559,0,1,1,1,1,1,1,6380.261559,
64.14638926,0,1,1,1,1,1,1,6414.638926,
64.49016292,0,1,1,1,1,1,1,6449.016292,
64.83393659,0,1,1,1,1,1,1,6483.393659,
65.17771026,0,1,1,1,1,1,1,6517.771026,
65.52148393,0,1,1,1,1,1,1,6552.148393,
