,0.00142737,RT=33.86 Sec,RT=67.73 Sec,RT=101.59 Sec,RT=135.45 Sec,RT=169.31 Sec,RT=203.17 Sec,
5.083976396,0,0,0,0,0.1,0.2,0.2,508.3976396
5.167385384,0,0,0,0,0.1,0.2,0.2,516.7385384
5.250794371,0,0,0,0,0.1,0.2,0.2,525.0794371
5.334203359,0,0,0,0,0.1,0.2,0.2,533.4203359
5.417612347,0,0,0,0,0.1,0.2,0.2,541.7612347
5.501021335,0,0,0,0,0.1,0.2,0.2,550.1021335
5.584430322,0,0,0,0,0.1,0.3,0.4,558.4430322
5.66783931,0,0,0,0,0.1,0.3,0.4,566.783931
5.751248298,0,0,0,0,0.1,0.3,0.6,575.1248298
5.834657286,0,0,0,0,0.1,0.3,0.6,583.4657286
5.918066273,0,0,0,0.1,0.2,0.5,0.8,591.8066273
6.001475261,0,0,0,0.2,0.3,0.6,1,600.1475261
6.084884249,0,0,0,0.2,0.4,0.6,1,608.4884249
6.168293236,0,0,0,0.2,0.4,0.7,1,616.8293236
6.251702224,0,0,0,0.2,0.4,0.9,1,625.1702224
6.335111212,0,0,0,0.2,0.5,0.9,1,633.5111212
6.4185202,0,0,0,0.5,0.9,1,1,641.85202
6.501929187,0,0,0,0.5,0.9,1,1,650.1929187
6.585338175,0,0,0,0.5,0.9,1,1,658.5338175
6.668747163,0,0,0,0.5,1,1,1,666.8747163
6.752156151,0,0,0,0.8,1,1,1,675.2156151
6.835565138,0,0,0,0.8,1,1,1,683.5565138
6.918974126,0,0,0,0.9,1,1,1,691.8974126
7.002383114,0,0,0,1,1,1,1,700.2383114
7.085792102,0,0,0,1,1,1,1,708.5792102
7.169201089,0,0,0,1,1,1,1,716.9201089
7.252610077,0,0,0.1,1,1,1,1,725.2610077
7.336019065,0,0,0.2,1,1,1,1,733.6019065
7.419428053,0,0,0.2,1,1,1,1,741.9428053
7.50283704,0,0,0.2,1,1,1,1,750.283704
7.586246028,0,0,0.2,1,1,1,1,758.6246028
7.669655016,0,0,0.4,1,1,1,1,766.9655016
7.753064004,0,0,0.5,1,1,1,1,775.3064004
7.836472991,0,0,0.6,1,1,1,1,783.6472991
7.919881979,0,0,0.8,1,1,1,1,791.9881979
8.003290967,0,0,0.8,1,1,1,1,800.3290967
8.086699955,0,0,0.8,1,1,1,1,808.6699955
8.170108942,0,0,0.8,1,1,1,1,817.0108942
8.25351793,0,0,0.9,1,1,1,1,825.351793
8.336926918,0,0,0.9,1,1,1,1,833.6926918
8.420335906,0,0,0.9,1,1,1,1,842.0335906
8.503744893,0,0,0.9,1,1,1,1,850.3744893
8.587153881,0,0,0.9,1,1,1,1,858.7153881
8.670562869,0,0,1,1,1,1,1,867.0562869
8.753971857,0,0,1,1,1,1,1,875.3971857
8.837380844,0,0,1,1,1,1,1,883.7380844
8.920789832,0,0,1,1,1,1,1,892.0789832
9.00419882,0,0,1,1,1,1,1,900.419882
9.087607808,0,0,1,1,1,1,1,908.7607808
9.171016795,0,0,1,1,1,1,1,917.1016795
9.254425783,0,0,1,1,1,1,1,925.4425783
9.337834771,0,0,1,1,1,1,1,933.7834771
9.421243759,0,0,1,1,1,1,1,942.1243759
9.504652746,0,0,1,1,1,1,1,950.4652746
9.588061734,0,0,1,1,1,1,1,958.8061734
9.671470722,0,0,1,1,1,1,1,967.1470722
9.754879709,0,0,1,1,1,1,1,975.4879709
9.838288697,0,0,1,1,1,1,1,983.8288697
9.921697685,0,0.1,1,1,1,1,1,992.1697685
10.00510667,0,0.1,1,1,1,1,1,1000.510667
10.08851566,0,0.1,1,1,1,1,1,1008.851566
10.17192465,0,0.1,1,1,1,1,1,1017.192465
10.25533364,0,0.1,1,1,1,1,1,1025.533364
10.33874262,0,0.1,1,1,1,1,1,1033.874262
10.42215161,0,0.1,1,1,1,1,1,1042.215161
10.5055606,0,0.1,1,1,1,1,1,1050.55606
10.58896959,0,0.1,1,1,1,1,1,1058.896959
10.67237857,0,0.2,1,1,1,1,1,1067.237857
10.75578756,0,0.2,1,1,1,1,1,1075.578756
10.83919655,0,0.2,1,1,1,1,1,1083.919655
10.92260554,0,0.3,1,1,1,1,1,1092.260554
11.00601453,0,0.4,1,1,1,1,1,1100.601453
11.08942351,0,0.4,1,1,1,1,1,1108.942351
11.1728325,0,0.4,1,1,1,1,1,1117.28325
11.25624149,0,0.5,1,1,1,1,1,1125.624149
11.33965048,0,0.5,1,1,1,1,1,1133.965048
11.42305946,0,0.6,1,1,1,1,1,1142.305946
11.50646845,0,0.6,1,1,1,1,1,1150.646845
11.58987744,0,0.6,1,1,1,1,1,1158.987744
11.67328643,0,0.7,1,1,1,1,1,1167.328643
11.75669542,0,0.8,1,1,1,1,1,1175.669542
11.8401044,0,0.9,1,1,1,1,1,1184.01044
11.92351339,0,1,1,1,1,1,1,1192.351339
12.00692238,0,1,1,1,1,1,1,1200.692238
12.09033137,0,1,1,1,1,1,1,1209.033137
12.17374035,0,1,1,1,1,1,1,1217.374035
12.25714934,0,1,1,1,1,1,1,1225.714934
12.34055833,0,1,1,1,1,1,1,1234.055833
12.42396732,0,1,1,1,1,1,1,1242.396732
12.50737631,0,1,1,1,1,1,1,1250.737631
12.59078529,0,1,1,1,1,1,1,1259.078529
12.67419428,0,1,1,1,1,1,1,1267.419428
12.75760327,0,1,1,1,1,1,1,1275.760327
12.84101226,0,1,1,1,1,1,1,1284.101226
12.92442124,0,1,1,1,1,1,1,1292.442124
13.00783023,0,1,1,1,1,1,1,1300.783023
13.09123922,0,1,1,1,1,1,1,1309.123922
13.17464821,0,1,1,1,1,1,1,1317.464821
13.25805719,0,1,1,1,1,1,1,1325.805719
13.34146618,0,1,1,1,1,1,1,1334.146618
