,RT=438.67 Sec,RT=845.99 Sec,RT=1253.28 Sec,RT=1660.57 Sec,RT=2067.86 Sec,RT=2475.15 Sec,RT=2882.44 Sec,
9.731395861,0,0,0,0,0,0,0,0.097313959
9.872012329,0,0,0,0,0,0,0,0.098720123
10.0126288,0,0,0,0,0,0,0,0.100126288
10.15324527,0,0,0,0,0,0,0,0.101532453
10.29386173,0,0,0,0,0,0,0,0.102938617
10.4344782,0,0,0,0,0,0,0,0.104344782
10.57509467,0,0,0,0,0,0,0.1,0.105750947
10.71571114,0,0,0,0,0,0,0.2,0.107157111
10.85632761,0,0,0,0,0,0,0.2,0.108563276
10.99694408,0,0,0,0,0,0.1,0.3,0.109969441
11.13756055,0,0,0,0,0,0.1,0.7,0.111375605
11.27817701,0,0,0,0,0,0.2,0.7,0.11278177
11.41879348,0,0,0,0,0,0.4,0.8,0.114187935
11.55940995,0,0,0,0,0.1,0.5,0.8,0.1155941
11.70002642,0,0,0,0,0.1,0.8,1,0.117000264
11.84064289,0,0,0,0,0.1,0.8,1,0.118406429
11.98125936,0,0,0,0,0.2,0.9,1,0.119812594
12.12187583,0,0,0,0,0.4,1,1,0.121218758
12.26249229,0,0,0,0,0.5,1,1,0.122624923
12.40310876,0,0,0,0,0.6,1,1,0.124031088
12.54372523,0,0,0,0,0.6,1,1,0.125437252
12.6843417,0,0,0,0.1,0.7,1,1,0.126843417
12.82495817,0,0,0,0.1,0.7,1,1,0.128249582
12.96557464,0,0,0,0.1,1,1,1,0.129655746
13.10619111,0,0,0,0.4,1,1,1,0.131061911
13.24680757,0,0,0,0.4,1,1,1,0.132468076
13.38742404,0,0,0,0.5,1,1,1,0.13387424
13.52804051,0,0,0,0.5,1,1,1,0.135280405
13.66865698,0,0,0,0.6,1,1,1,0.13668657
13.80927345,0,0,0,0.7,1,1,1,0.138092734
13.94988992,0,0,0,0.8,1,1,1,0.139498899
14.09050638,0,0,0.2,0.9,1,1,1,0.140905064
14.23112285,0,0,0.2,1,1,1,1,0.142311229
14.37173932,0,0,0.2,1,1,1,1,0.143717393
14.51235579,0,0,0.2,1,1,1,1,0.145123558
14.65297226,0,0,0.2,1,1,1,1,0.146529723
14.79358873,0,0,0.2,1,1,1,1,0.147935887
14.9342052,0,0,0.5,1,1,1,1,0.149342052
15.07482166,0,0,0.6,1,1,1,1,0.150748217
15.21543813,0,0,0.6,1,1,1,1,0.152154381
15.3560546,0,0,0.7,1,1,1,1,0.153560546
15.49667107,0,0,0.8,1,1,1,1,0.154966711
15.63728754,0,0,0.8,1,1,1,1,0.156372875
15.77790401,0,0,0.8,1,1,1,1,0.15777904
15.91852048,0,0,0.8,1,1,1,1,0.159185205
16.05913694,0,0,0.9,1,1,1,1,0.160591369
16.19975341,0,0,0.9,1,1,1,1,0.161997534
16.34036988,0,0,0.9,1,1,1,1,0.163403699
16.48098635,0,0,1,1,1,1,1,0.164809863
16.62160282,0,0,1,1,1,1,1,0.166216028
16.76221929,0,0,1,1,1,1,1,0.167622193
16.90283576,0,0,1,1,1,1,1,0.169028358
17.04345222,0,0.1,1,1,1,1,1,0.170434522
17.18406869,0,0.2,1,1,1,1,1,0.171840687
17.32468516,0,0.2,1,1,1,1,1,0.173246852
17.46530163,0,0.4,1,1,1,1,1,0.174653016
17.6059181,0,0.4,1,1,1,1,1,0.176059181
17.74653457,0,0.4,1,1,1,1,1,0.177465346
17.88715103,0,0.5,1,1,1,1,1,0.17887151
18.0277675,0,0.6,1,1,1,1,1,0.180277675
18.16838397,0,0.6,1,1,1,1,1,0.18168384
18.30900044,0,0.6,1,1,1,1,1,0.183090004
18.44961691,0,0.7,1,1,1,1,1,0.184496169
18.59023338,0,0.7,1,1,1,1,1,0.185902334
18.73084985,0,0.8,1,1,1,1,1,0.187308498
18.87146631,0,1,1,1,1,1,1,0.188714663
19.01208278,0,1,1,1,1,1,1,0.190120828
19.15269925,0,1,1,1,1,1,1,0.191526993
19.29331572,0,1,1,1,1,1,1,0.192933157
19.43393219,0,1,1,1,1,1,1,0.194339322
19.57454866,0,1,1,1,1,1,1,0.195745487
19.71516513,0,1,1,1,1,1,1,0.197151651
19.85578159,0,1,1,1,1,1,1,0.198557816
19.99639806,0,1,1,1,1,1,1,0.199963981
20.13701453,0,1,1,1,1,1,1,0.201370145
20.277631,0,1,1,1,1,1,1,0.20277631
20.41824747,0,1,1,1,1,1,1,0.204182475
20.55886394,0,1,1,1,1,1,1,0.205588639
20.69948041,0,1,1,1,1,1,1,0.206994804
20.84009687,0,1,1,1,1,1,1,0.208400969
20.98071334,0,1,1,1,1,1,1,0.209807133
21.12132981,0,1,1,1,1,1,1,0.211213298
21.26194628,0,1,1,1,1,1,1,0.212619463
21.40256275,0,1,1,1,1,1,1,0.214025627
21.54317922,0,1,1,1,1,1,1,0.215431792
21.68379568,0,1,1,1,1,1,1,0.216837957
21.82441215,0,1,1,1,1,1,1,0.218244122
21.96502862,0.3,1,1,1,1,1,1,0.219650286
22.10564509,0.3,1,1,1,1,1,1,0.221056451
22.24626156,0.3,1,1,1,1,1,1,0.222462616
22.38687803,0.3,1,1,1,1,1,1,0.22386878
22.5274945,0.3,1,1,1,1,1,1,0.225274945
22.66811096,0.4,1,1,1,1,1,1,0.22668111
22.80872743,0.5,1,1,1,1,1,1,0.228087274
22.9493439,0.5,1,1,1,1,1,1,0.229493439
23.08996037,0.8,1,1,1,1,1,1,0.230899604
23.23057684,0.8,1,1,1,1,1,1,0.232305768
23.37119331,0.9,1,1,1,1,1,1,0.233711933
23.51180978,0.9,1,1,1,1,1,1,0.235118098
23.65242624,0.9,1,1,1,1,1,1,0.236524262
